header,title,title_url,channel,time
YouTube Music,Watched Slow J - WhatDoesURGodSoundLike (sLo-fi),https://www.youtube.com/watch?v=inesErb6rj8,Slow J,2021-01-03T15:39:12.791Z
YouTube Music,Watched Slow J - AGoodLife (sLo-fi),https://www.youtube.com/watch?v=SbSozIIjIc4,Slow J,2021-01-03T15:35:49.914Z
YouTube,Watched I WISH I NEVER DID THIS HAIRCUT!!,https://www.youtube.com/watch?v=MIYnAfQxzfg,UGH IT'S JOE,2021-01-03T15:26:23.296Z
YouTube,Watched Silicon Valley - Gilfoyle vs HR [Part 1],https://www.youtube.com/watch?v=HkFztAgK-8U,ReShow,2021-01-03T15:22:16.174Z
YouTube,Watched I CAN'T STOP DOING THIS TO MYSELF!! (HAIRCUT),https://www.youtube.com/watch?v=58dhPEGWN_s,UGH IT'S JOE,2021-01-03T15:03:32.934Z
YouTube,Watched Jimmy Kimmel Pulls Best Prank Ever on Cousin Micki,https://www.youtube.com/watch?v=aqAbmYh7eAM,Jimmy Kimmel Live,2021-01-03T00:52:30.497Z
YouTube,Watched 2001 FOI HÁ 20 ANOS - QUERO LÁ SABER #57,https://www.youtube.com/watch?v=Z8DOpKi9peI,Diogo Bataguas,2021-01-02T23:35:16.007Z
YouTube,Watched Why I Bought a Tesla - Tesla Model Y Review,https://www.youtube.com/watch?v=CP0pR1M0-vo,Linus Tech Tips,2021-01-02T23:21:24.338Z
YouTube,Watched 2021 Tech I'm Ready For!,https://www.youtube.com/watch?v=mx3krJHlUzc,Marques Brownlee,2021-01-02T23:12:47.050Z
YouTube,Watched Inside the doomsday bunker for the super rich,https://www.youtube.com/watch?v=TX1sRxCrduA,CNET,2021-01-02T23:12:34.977Z
YouTube,"Watched Ana Gomes - ""Estou preparada para falar com o diabo"" - Especial Presidenciais",https://www.youtube.com/watch?v=RG0Khion-9o,MALUCO BELEZA,2021-01-02T22:50:09.638Z
YouTube,Watched SiliconValley - Transferring to AWS scene,https://www.youtube.com/watch?v=JESKjC0SzWE,Daeta Robinson,2021-01-02T22:40:45.076Z
YouTube Music,Watched Mac Miller - Woods,https://www.youtube.com/watch?v=g8sX6wZHhD0,Mac Miller,2021-01-02T22:23:24.129Z
YouTube Music,Watched Mac Miller - Everybody [Official Music Video],https://www.youtube.com/watch?v=_-Ig0aeJ6jc,Mac Miller,2021-01-02T22:19:06.894Z
YouTube Music,Watched Mac Miller - I Can See [Official Music Video],https://www.youtube.com/watch?v=rGxOUnlHpGI,Mac Miller,2021-01-02T22:15:25.535Z
YouTube,Watched ALEX ERNST IS BACK!!!  |  DAVID FORGETS HE'S RECORDING..😲 |  VLOGSQUAD INSTAGRAM STORIES 7,https://www.youtube.com/watch?v=Z4iY9B79tcc,VlogSquad Moments,2021-01-02T22:07:45.473Z
YouTube,Watched 25 Home Automation Ideas: Ultimate Smart Home Tour (volume 2),https://www.youtube.com/watch?v=jDaRPsvvcz4,Smart Home Solver,2021-01-02T22:01:59.338Z
YouTube,Watched ED SHEERAN asks for New Zealand citizenship and NZ Prime Minister Jacinda Ardern REPLIES!,https://www.youtube.com/watch?v=wRPSDuPrvKQ,ZM,2021-01-02T22:00:08.717Z
YouTube Music,Watched Mac Miller - Good News [Official Music Video],https://www.youtube.com/watch?v=aIHF7u9Wwiw,Mac Miller,2021-01-02T21:57:06.428Z
YouTube Music,Watched Mac Miller - Blue World [Official Music Video],https://www.youtube.com/watch?v=_GC2wFTCAGY,Mac Miller,2021-01-02T21:53:36.254Z
YouTube Music,Watched Mac Miller - Complicated [Official Music Video],https://www.youtube.com/watch?v=Q-NUaixkovQ,Mac Miller,2021-01-02T21:49:43.311Z
YouTube Music,Watched Mac Miller - Circles [Official Music Video],https://www.youtube.com/watch?v=V4BFGSZ_1ls,Mac Miller,2021-01-02T21:46:52.248Z
YouTube,Watched i made a commercial vlog,https://www.youtube.com/watch?v=rdaBGqSHwmQ,Alex Ernst,2021-01-02T21:38:41.114Z
YouTube,Watched DAVID BOUGHT US A NEW HOUSE!!,https://www.youtube.com/watch?v=YtCDCfqIn00,Zane Hijazi,2021-01-02T20:47:44.267Z
YouTube Music,Watched Bem Vindo a Casa.,https://www.youtube.com/watch?v=Bkr1oqRsLLw,Slow J - Topic,2021-01-02T20:46:48.116Z
YouTube Music,Watched Viaja,https://www.youtube.com/watch?v=rQoyJSAmLtc,Valete - Topic,2021-01-02T20:32:55.594Z
YouTube Music,Watched Aviola II (Acústico),https://www.youtube.com/watch?v=WYT8ACS8glY,Bispo - Topic,2021-01-02T20:28:49.005Z
YouTube Music,Watched Slow J - HomeLand (sLo-fi),https://www.youtube.com/watch?v=qm5V2ny0oJw,Slow J,2021-01-02T20:26:08.853Z
YouTube Music,Watched Slow J - Bedrooms&SpaceShips (sLo-fi),https://www.youtube.com/watch?v=OJKlWnBk2q8,Slow J,2021-01-02T20:23:59.416Z
YouTube Music,Watched Slow J - FindSomeWhere (sLo-fi),https://www.youtube.com/watch?v=71zrrBnvp3Y,Slow J,2021-01-02T20:21:00.381Z
YouTube Music,Watched Slow J - Numbers (sLo-fi),https://www.youtube.com/watch?v=cCBxOZO_N14,Slow J,2021-01-02T20:18:39.485Z
YouTube Music,Watched Slow J - TryAndMeltMyFaith (sLo-fi),https://www.youtube.com/watch?v=60bV1PxDk0s,Slow J,2021-01-02T20:14:46.975Z
YouTube Music,Watched Slow J - Uivos (sLo-fi),https://www.youtube.com/watch?v=cab90camu_s,Slow J,2021-01-02T20:12:19.218Z
YouTube Music,Watched Slow J - SunnyMondayAfternoon (sLo-fi),https://www.youtube.com/watch?v=uyjttTCZ1W4,Slow J,2021-01-02T20:06:33.319Z
YouTube Music,Watched Slow J - WhatDoesURGodSoundLike (sLo-fi),https://www.youtube.com/watch?v=inesErb6rj8,Slow J,2021-01-02T20:04:37.886Z
YouTube Music,Watched Slow J - AGoodLife (sLo-fi),https://www.youtube.com/watch?v=SbSozIIjIc4,Slow J,2021-01-02T20:01:44.152Z
YouTube,Watched playstation 5 surprise they didn't want you to see,https://www.youtube.com/watch?v=CRCuUAL2BlM,Ugh More Joe,2021-01-02T19:47:52.466Z
YouTube,Watched i became a musical star vlog,https://www.youtube.com/watch?v=cXL1txJTFBE,Alex Ernst,2021-01-02T19:41:48.997Z
YouTube,Watched How to speed up any ipad in 2 Minutes!!,https://www.youtube.com/watch?v=Bl6kTDEVOD4,TekNixHaX,2021-01-02T16:52:46.156Z
YouTube,Watched Expensive vs Cheap Coffee Maker,https://www.youtube.com/watch?v=xJ_9hdj4QgE,Unbox Therapy,2021-01-02T16:44:04.868Z
YouTube,Watched How to speed up yours Old  iPad,https://www.youtube.com/watch?v=GcTF6o2DBok,Jakub Kroupa,2021-01-02T16:39:50.690Z
YouTube,Watched MELHORES MOMENTOS DE PINTO DA COSTA,https://www.youtube.com/watch?v=OdGSgwCt9_0,samuKa MC,2021-01-02T16:06:02.058Z
YouTube,Watched BdC vs CMTV: a sua mãe está boazinha?,https://www.youtube.com/watch?v=xyLw7-CN_Jk,Not Alone,2021-01-02T16:04:38.186Z
YouTube,Watched Entrevista na praia like a boss,https://www.youtube.com/watch?v=ZJTQlZTMp-Q,Tiago 1050,2021-01-02T16:03:16.646Z
YouTube,Watched Salahhhhhhh,https://www.youtube.com/watch?v=Fj2OE8Z5DTA,Nathan Green,2021-01-02T16:02:52.658Z
YouTube,Watched DYING MY HAIR PINK,https://www.youtube.com/watch?v=PCxbyNDpXOk,Zane Hijazi,2021-01-02T15:55:02.854Z
YouTube,Watched Lads get told to keep it down by bouncer then sing a chant about it,https://www.youtube.com/watch?v=0OjDY9jqDCA,CONTENTbible,2021-01-02T15:53:35.325Z
YouTube,Watched JONAHS 2020 YouTube REWIND!!,https://www.youtube.com/watch?v=gMtoLbvwqRg,JONAH,2021-01-02T15:53:33.935Z
YouTube Music,Watched Billie Eilish - bad guy,https://www.youtube.com/watch?v=DyDfgMOUjCI,BillieEilishVEVO,2021-01-02T14:58:24.642Z
YouTube,Watched framed by the media vlog,https://www.youtube.com/watch?v=DNncITwyX40,Alex Ernst,2021-01-02T14:51:58.116Z
YouTube,Watched i changed my identity vlog,https://www.youtube.com/watch?v=uoZgR2lys1g,Alex Ernst,2021-01-02T14:48:56.935Z
YouTube,Watched Prince Harry grills Barack Obama in quickfire quiz - BBC News,https://www.youtube.com/watch?v=PwKJD36n-30,BBC News,2021-01-02T14:48:38.050Z
YouTube,Watched Obama Meets Prince George for First Time,https://www.youtube.com/watch?v=9MTZXAb5REw,ABC News,2021-01-02T14:47:21.564Z
YouTube,Watched The Great Game (Full Episode) | Inside North Korea,https://www.youtube.com/watch?v=EexZjx3YOuQ,National Geographic,2021-01-02T14:47:01.463Z
YouTube,Watched Another 96 Year old speeder & Her boyfriend is a bum!,https://www.youtube.com/watch?v=VJ7pCB4g3sU,Caught In Providence,2021-01-02T14:43:34.907Z
YouTube,Watched Random Acts of Kindness Ep. 1,https://www.youtube.com/watch?v=yt8SUcWTzT0,Love Now,2021-01-02T14:40:50.716Z
YouTube,Watched 3 random strangers make an awesome song,https://www.youtube.com/watch?v=jr478w--dpE,Jaime Maldonado,2021-01-02T14:37:08.530Z
YouTube,Watched I CAN'T BELIEVE THIS HAPPENED ON AN AIRPLANE!!,https://www.youtube.com/watch?v=vemwTw_MAYg,UGH IT'S JOE,2021-01-02T14:31:01.763Z
YouTube,"Watched German soccer ref ""brutally"" teaches TSV 1860 player some respect",https://www.youtube.com/watch?v=IfrVK9ti3UI,ddtblog2,2021-01-02T14:29:59.961Z
YouTube,Watched Todoist + Notion Embed: How to Get Todoist Tasks in Notion Pages,https://www.youtube.com/watch?v=e-Vpe5okOh4,Keep Productive,2021-01-01T22:41:14.401Z
YouTube Music,Watched L.O.M.,https://www.youtube.com/watch?v=Y6wyn6k_Wa0,Mobbers - Topic,2021-01-01T22:40:12.724Z
YouTube Music,Watched Olimpo,https://www.youtube.com/watch?v=EpD_yCwTEic,Valete - Topic,2021-01-01T22:36:16.481Z
YouTube Music,Watched Aviola II (Acústico),https://www.youtube.com/watch?v=WYT8ACS8glY,Bispo - Topic,2021-01-01T22:34:34.313Z
YouTube Music,Watched 00 Fala Bonito,https://www.youtube.com/watch?v=J_QJi-e90vQ,Papillon - Topic,2021-01-01T22:31:01.334Z
YouTube,Watched they want me dead vlog,https://www.youtube.com/watch?v=klOffMwt1xM,Alex Ernst,2021-01-01T22:03:39.289Z
YouTube,Watched committing fraud to pay my taxes vlog,https://www.youtube.com/watch?v=CAWSCDIsHA4,Alex Ernst,2021-01-01T21:59:49.166Z
YouTube,Watched Exactly how you would expect 2020 to end,https://www.youtube.com/watch?v=Ve5uQ2TbOgA,Barstool Shorts,2021-01-01T21:59:40.155Z
YouTube,"Watched Youtube Rewind 2020, Thank God It's Over",https://www.youtube.com/watch?v=PKtnafFtfEo,MrBeast,2021-01-01T21:54:59.474Z
YouTube,Watched Why Microsoft left dozens of servers on the ocean floor for two years,https://www.youtube.com/watch?v=Ag2L5RY9CHI,CNET,2021-01-01T21:45:30.352Z
YouTube,Watched The real cost of smart speakers,https://www.youtube.com/watch?v=IUEN2TAqlmU,Vox,2021-01-01T21:40:37.360Z
YouTube Music,Watched Só Queria Sorrir,https://www.youtube.com/watch?v=pb2UcOtY62M,Slow J - Topic,2021-01-01T21:39:28.214Z
YouTube Music,Watched Viaja,https://www.youtube.com/watch?v=rQoyJSAmLtc,Valete - Topic,2021-01-01T21:36:13.066Z
YouTube Music,Watched Slow J - HomeLand (sLo-fi),https://www.youtube.com/watch?v=qm5V2ny0oJw,Slow J,2021-01-01T21:33:32.682Z
YouTube Music,Watched Slow J - Bedrooms&SpaceShips (sLo-fi),https://www.youtube.com/watch?v=OJKlWnBk2q8,Slow J,2021-01-01T21:31:23.247Z
YouTube,Watched SURPRISING MY BEST FRIEND FOR HIS BIRTHDAY!!,https://www.youtube.com/watch?v=GHMY3ppA0JA,David Dobrik,2021-01-01T21:23:17.582Z
YouTube,Watched SURPRISING FRIEND WITH NEW CAR MAKEOVER!!,https://www.youtube.com/watch?v=f39w6TdCx9k,David Dobrik,2021-01-01T21:23:06.901Z
YouTube Music,Watched Slow J - FindSomeWhere (sLo-fi),https://www.youtube.com/watch?v=71zrrBnvp3Y,Slow J,2021-01-01T21:21:17.926Z
YouTube Music,Watched Slow J - Numbers (sLo-fi),https://www.youtube.com/watch?v=cCBxOZO_N14,Slow J,2021-01-01T21:18:56.658Z
YouTube Music,Watched Slow J - TryAndMeltMyFaith (sLo-fi),https://www.youtube.com/watch?v=60bV1PxDk0s,Slow J,2021-01-01T21:15:04.141Z
YouTube Music,Watched Slow J - Uivos (sLo-fi),https://www.youtube.com/watch?v=cab90camu_s,Slow J,2021-01-01T21:12:36.499Z
YouTube Music,Watched Slow J - SunnyMondayAfternoon (sLo-fi),https://www.youtube.com/watch?v=uyjttTCZ1W4,Slow J,2021-01-01T21:10:04.489Z
YouTube Music,Watched Slow J - WhatDoesURGodSoundLike (sLo-fi),https://www.youtube.com/watch?v=inesErb6rj8,Slow J,2021-01-01T21:08:09.084Z
YouTube Music,Watched Slow J - AGoodLife (sLo-fi),https://www.youtube.com/watch?v=SbSozIIjIc4,Slow J,2021-01-01T21:05:14.861Z
YouTube Music,Watched DARKSIDE Boiler Room NYC Live SetBoiler Room2174,https://www.youtube.com/watch?v=-NPLdHd0W6c,MNSS,2021-01-01T20:51:56.755Z
YouTube,Watched my girlfriend refuses to kiss me anymore...,https://www.youtube.com/watch?v=pgPqIKwcC5w,Ugh More Joe,2021-01-01T20:47:03.342Z
YouTube,"Watched SURPRISING MY BEST FRIEND WITH $60,000!!",https://www.youtube.com/watch?v=BbQ7dy1ALGg,Zane Hijazi,2021-01-01T20:30:23.966Z
YouTube Music,Watched TUNING,https://www.youtube.com/watch?v=sZppGIaaanM,Yakuza - Topic,2021-01-01T20:30:14.609Z
YouTube Music,Watched Interveniente Acidental,https://www.youtube.com/watch?v=-bytNwJPhTw,David Bruno - Topic,2021-01-01T20:21:12.270Z
YouTube Music,"Watched Nails, Hair, Hips, Heels by Todrick Hall",https://www.youtube.com/watch?v=TQ04gPb4LlY,todrickhall,2021-01-01T20:20:26.200Z
YouTube Music,Watched Billie Eilish - my future,https://www.youtube.com/watch?v=Dm9Zf1WYQ_A,BillieEilishVEVO,2021-01-01T20:15:57.648Z
YouTube Music,Watched Billie Eilish - bad guy,https://www.youtube.com/watch?v=DyDfgMOUjCI,BillieEilishVEVO,2021-01-01T20:11:29.534Z
YouTube,Watched Who's Actually Supporting Donald Trump? | The Daily Show,https://www.youtube.com/watch?v=6a_6pwTO_gk,The Daily Show with Trevor Noah,2021-01-01T20:05:50.981Z
YouTube,"Watched Stealing $60,000 from David while he's sleeping",https://www.youtube.com/watch?v=OC0864nP2aE,Zane Hijazi,2021-01-01T20:01:40.256Z
YouTube,Watched EMOTIONAL SURPRISE WITH COURTENEY COX!!,https://www.youtube.com/watch?v=zjOY2qTC2AU,David Dobrik,2021-01-01T19:53:01.358Z
YouTube,Watched Lady Yells at Kid on Alpine Slide in Winter Park CO (Fight),https://www.youtube.com/watch?v=D7c82c7ay5s,Kyle Smith,2021-01-01T19:38:48.534Z
YouTube,Watched Why Poland is having huge protests,https://www.youtube.com/watch?v=wmSXB7ukH4M,Vox,2021-01-01T19:38:47.272Z
YouTube,Watched Duke REACTS to Wuhan!,https://www.youtube.com/watch?v=dYQKgkYdBMk,Duke,2021-01-01T16:25:03.415Z
YouTube,"Watched ""We're too good guys!"" Mourinho on Tottenham team | All or Nothing episode 7 part 5",https://www.youtube.com/watch?v=L0h1bCrfZ_g,What I Watch,2021-01-01T15:22:18.601Z
YouTube,"Watched Mourinho tactical class 2/2 | ""Winning Mentality""| All or Nothing Tottenham episode 7 part3",https://www.youtube.com/watch?v=uLsdIKRnIQI,What I Watch,2021-01-01T15:20:26.782Z
YouTube,"Watched ""How many of you won FA cup?"" Mourinho team talk in new episode 4 of All or Nothing | part 1",https://www.youtube.com/watch?v=d_hXs5UZs2o,What I Watch,2021-01-01T15:19:53.901Z
YouTube,Watched Peter Crouch having a shocker on Soccer AM,https://www.youtube.com/watch?v=mzlePT4mMwY,Sky Sports Retro,2021-01-01T15:19:15.711Z
YouTube,"Watched Surprising Vlog Squad with a $15,000 Body Transformation",https://www.youtube.com/watch?v=x-sVtBLQMpk,Zane Hijazi,2021-01-01T15:15:01.493Z
YouTube Music,"Watched AILERON, PT. II",https://www.youtube.com/watch?v=9-iIGBR7xdU,Yakuza - Topic,2021-01-01T15:11:18.477Z
YouTube Music,"Watched AILERON, PT. I",https://www.youtube.com/watch?v=kURpEmbCGxE,Yakuza - Topic,2021-01-01T14:49:39.258Z
YouTube,Watched LONDON ROOM TOUR VLOG | KharmaMedic,https://www.youtube.com/watch?v=j9WbRNahGWk,Kharma Medic,2021-01-01T14:37:33.542Z
YouTube,Watched i've never felt love until this moment..,https://www.youtube.com/watch?v=ckMvjhbfs78,Ugh More Joe,2021-01-01T14:20:54.529Z
YouTube,Watched I never thought this day would come.,https://www.youtube.com/watch?v=09ZogY4ERrE,Matt D'Avella,2021-01-01T14:12:47.333Z
YouTube,Watched THE NIGHT SHIFT: my romantic getaway with lana,https://www.youtube.com/watch?v=hHbGfdvO9MY,Mike Majlak Vlogs,2021-01-01T14:04:48.554Z
YouTube,Watched Why Investors Are Piling Into Bitcoin Despite the Risks | WSJ,https://www.youtube.com/watch?v=HhOuvNDMlI0,Wall Street Journal,2021-01-01T14:04:46.432Z
YouTube,Watched BEST FRIEND GETS WISDOM TEETH REMOVED (aftermath),https://www.youtube.com/watch?v=2fmuNF_OZbQ,Jason Nash,2021-01-01T14:01:44.369Z
YouTube,Watched COLLEGE GIRLS DID NOT SEE THIS COMING!!,https://www.youtube.com/watch?v=P2h7wcP3kic,David Dobrik,2021-01-01T14:01:30.541Z
YouTube,Watched i want to let a coyote loose in his house,https://www.youtube.com/watch?v=oE_5-z7Xzlw,Ugh More Joe,2021-01-01T01:17:44.096Z
YouTube,Watched first time seeing his new (attic) apartment video,https://www.youtube.com/watch?v=9-ppPEN7Lw8,Ugh More Joe,2021-01-01T01:14:36.981Z
YouTube,Watched this will be my last video....,https://www.youtube.com/watch?v=jWISHo3WoAI,Ugh More Joe,2021-01-01T01:10:47.319Z
YouTube,Watched SECRET SANTA CHALLENGE (What did I get them?),https://www.youtube.com/watch?v=PBZvHJOBtx0,Jason Nash,2021-01-01T01:06:25.661Z
YouTube,Watched Jose Mourinho gives GREAT Tactical Analysis on Man Utd..👏,https://www.youtube.com/watch?v=DmIPn6gL-CU,Saulty04,2021-01-01T01:05:00.232Z
YouTube,Watched Jeff Wittek tells crazy JAIL STORIES!,https://www.youtube.com/watch?v=T_FIm0sRuQE,DURTE DOM,2021-01-01T01:02:00.892Z
YouTube,Watched Jeff Wittek Explains How “HIS FRIENDS” Sold Drugs in Miami,https://www.youtube.com/watch?v=mKbk63tOQNY,LA Story Time,2021-01-01T01:01:47.110Z
YouTube,Watched DAVID DOBRIK 9/11 DELETED VLOG - AIRPLANE SEAT WAS NOT ATTACHED PROPERLY!!,https://www.youtube.com/watch?v=D46XTtwbnMo,SO WHAT,2021-01-01T00:57:06.749Z
YouTube,Watched Bruno Fernandes reveals why he shushed Pep Guardiola in the Manchester Derby,https://www.youtube.com/watch?v=9LK2wN2XSxg,Sky Sports Football,2021-01-01T00:53:53.943Z
YouTube,Watched Bruno Fernandes asking Pep Guardiola to shut up in Manchester derby March 8 2020,https://www.youtube.com/watch?v=RHX0SIvR0j4,The Casual Gamer Official,2021-01-01T00:53:27.622Z
YouTube,Watched Son Feels the Fury of Lloris at Half-Time for not Tracking Back! | All or Nothing: Tottenham Hotspur,https://www.youtube.com/watch?v=yPZiOnjf3OU,Amazon Prime Video Sport,2021-01-01T00:50:46.745Z
YouTube,Watched redbone x childish gambino,https://www.youtube.com/watch?v=pmwkdXysspU,Joseph Solomon,2021-01-01T00:49:59.947Z
YouTube,Watched Lionel Messi & Dani Alves Warm up At the Camp Nou,https://www.youtube.com/watch?v=_In0AzRVuD4,judokan69,2021-01-01T00:48:37.494Z
YouTube,Watched Messi scores 2 free kicks in a row during warm up,https://www.youtube.com/watch?v=bdE9M9sW2GQ,Playing With Style,2021-01-01T00:48:05.345Z
YouTube,Watched Cristiano Ronaldo  amazing freekick in warm up,https://www.youtube.com/watch?v=OILHD6glJ24,Johnny17,2021-01-01T00:47:40.902Z
YouTube,"Watched Nelo Chapeiro - Aqui trabalha-se, moço!",https://www.youtube.com/watch?v=tCszhRfKMRM,dse7e,2021-01-01T00:43:49.425Z
YouTube,Watched Hadestown: NPR Music Tiny Desk Concert,https://www.youtube.com/watch?v=XKwDFDDr_VA,NPR Music,2021-01-01T00:32:09.673Z
YouTube,Watched caught my hot model girlfriend doing this..,https://www.youtube.com/watch?v=tb4fkf2qh3g,Ugh More Joe,2020-12-31T19:34:17.414Z
YouTube,Watched I WAS WRONG - How I Set Goals for the New Year,https://www.youtube.com/watch?v=0rkRC728rIU,Ali Abdaal,2020-12-31T19:34:16.983Z
YouTube,"Watched Apresentação da ""Notícia do Dia"" na ""Casa do Unas""",https://www.youtube.com/watch?v=Q2M0NKWQQ60,MALUCO BELEZA,2020-12-31T19:29:56.827Z
YouTube,"Watched Sam Sheffer is live! Yes, this is real. Hello.",https://www.youtube.com/watch?v=KIg3s7j4xDc,Sam Sheffer,2020-12-31T19:29:16.675Z
YouTube,Watched O fogueteiro profissional,https://www.youtube.com/watch?v=pJk5VjAaRiY,RandomStuff Videos,2020-12-31T16:19:40.529Z
YouTube,"Watched 2020, in 7 minutes",https://www.youtube.com/watch?v=vGQQbulRUjY,Vox,2020-12-31T16:07:39.194Z
YouTube Music,Watched KATANA,https://www.youtube.com/watch?v=8HxeI8pqhMk,Yakuza - Topic,2020-12-31T15:55:00.689Z
YouTube,Watched WHO IS HIS NEW GIRL!!?,https://www.youtube.com/watch?v=Kvv_-QZz3Kc,David Dobrik,2020-12-31T15:46:23.666Z
YouTube Music,Watched FURTO,https://www.youtube.com/watch?v=DKC1baShEiI,Yakuza - Topic,2020-12-31T15:42:11.928Z
YouTube Music,Watched PICHELEIRA,https://www.youtube.com/watch?v=EhOojBikuRo,Yakuza - Topic,2020-12-31T15:30:15.078Z
YouTube Music,"Watched AILERON, PT. II",https://www.youtube.com/watch?v=9-iIGBR7xdU,Yakuza - Topic,2020-12-31T15:11:48.979Z
YouTube,Watched SURPRISING HER AT THE HOSPITAL!!,https://www.youtube.com/watch?v=fbgWVJB7ZKc,David Dobrik,2020-12-31T15:03:39.763Z
YouTube Music,"Watched AILERON, PT. I",https://www.youtube.com/watch?v=kURpEmbCGxE,Yakuza - Topic,2020-12-31T15:01:48.605Z
YouTube Music,Watched TUNING,https://www.youtube.com/watch?v=sZppGIaaanM,Yakuza - Topic,2020-12-31T14:55:57.297Z
YouTube Music,Watched Olimpo,https://www.youtube.com/watch?v=EpD_yCwTEic,Valete - Topic,2020-12-31T14:50:36.033Z
YouTube Music,Watched 00 Fala Bonito,https://www.youtube.com/watch?v=J_QJi-e90vQ,Papillon - Topic,2020-12-31T14:47:02.847Z
YouTube Music,Watched Viaja,https://www.youtube.com/watch?v=rQoyJSAmLtc,Valete - Topic,2020-12-31T14:43:47.790Z
YouTube Music,Watched Slow J - HomeLand (sLo-fi),https://www.youtube.com/watch?v=qm5V2ny0oJw,Slow J,2020-12-31T14:41:07.487Z
YouTube Music,Watched Slow J - Bedrooms&SpaceShips (sLo-fi),https://www.youtube.com/watch?v=OJKlWnBk2q8,Slow J,2020-12-31T14:38:58.011Z
YouTube Music,Watched Slow J - FindSomeWhere (sLo-fi),https://www.youtube.com/watch?v=71zrrBnvp3Y,Slow J,2020-12-31T14:35:58.986Z
YouTube Music,Watched Slow J - Numbers (sLo-fi),https://www.youtube.com/watch?v=cCBxOZO_N14,Slow J,2020-12-31T14:33:38.231Z
YouTube Music,Watched Slow J - TryAndMeltMyFaith (sLo-fi),https://www.youtube.com/watch?v=60bV1PxDk0s,Slow J,2020-12-31T14:29:45.896Z
YouTube Music,Watched Slow J - Uivos (sLo-fi),https://www.youtube.com/watch?v=cab90camu_s,Slow J,2020-12-31T14:27:18.236Z
YouTube,"Watched Os Zambujeiros - ""Eu Hei de Dar ao Menino"" | Gala de Natal 2020 | The Voice Portugal 2020 - Completo",https://www.youtube.com/watch?v=Y2UW1LwIuTA,Channeld'almeida,2020-12-31T14:21:12.859Z
